Question,Topic,Difficulty,Weight,SelectedAnswer,CorrectAnswer,Correct
(Easy) What must match between a method call and its definition?,Methods,Easy,0.25,Return type only,Name and parameters,False
(Easy) What will this print? int[] a = {2 4 6}; for(int i = 0; i < a.length; i++) { System.out.print(a[i]); },Arrays,Easy,0.25,2 4 6,246,False
(Easy) Which method call is correct?,Methods,Easy,0.25,display();,display();,True
(Easy) What is printed? int[] x = {5  10  15}; System.out.println(x.length);,Arrays,Easy,0.25,10,3,False
(Easy) What does this print? int[] a = {10  20  30}; System.out.println(a[0]);,Arrays,Easy,0.25,20,10,False
(Easy) How can you change an element in array arr?,Arrays,Easy,0.25,arr[0] = 5;,arr[0] = 5;,True
(Medium) How do you sum all values of array arr?,Arrays,Medium,0.6,for(int i=0;i<arr.length;i++) sum+=arr[i];,for(int i=0;i<arr.length;i++) sum+=arr[i];,True
(Hard) What is the output? int[] x = {1 2 3 4}; for(int i=1;i<x.length;i++) x[i] += x[i-1]; System.out.println(x[3]);,Arrays,Hard,1,9,10,False
(Medium) Which of the following methods returns a boolean?,Methods,Medium,0.6,int isEven(int n) { return n % 2 == 0; },boolean isEven(int n) { return n % 2 == 0; },False
(Medium) What is printed? int subtract(int a  int b) { return a - b; } System.out.println(subtract(10  4));,Methods,Medium,0.6,6,6,True
(Hard) What will be printed? int factorial(int n){ return (n==1)?1:n*factorial(n-1); } System.out.println(factorial(4));,Methods,Hard,1,12,24,False
(Hard) What will this code print? int x=2; void doubleIt(int n){ n*=2; System.out.println(n); } doubleIt(x); System.out.println(x);,Methods,Hard,1,4 2,4 2,True
(Hard) What will be printed? int[] nums = {1 2 3 4}; for(int i=0;i<nums.length;i++) for(int j=0;j<=i;j++) System.out.print(nums[j]);,Arrays,Hard,1,1234,1121231234,False
(Hard) What is true about recursion?,Methods,Hard,1,It shares the same memory as the parent call,Every recursive call creates a new stack frame,False
(Hard) Which of these methods is overloaded correctly?,Methods,Hard,1,void calc(int a){} and int calc(int b){},Both A and B,False
(Hard) What happens if two methods have same name and parameters but different return types?,Methods,Hard,1,Runtime error,Compilation error,False
(Hard) Which method will produce infinite recursion?,Methods,Hard,1,int test(){ return 0; },int test(){ return test(); },False
(Hard) Which of these will print the second column of a 2D array?,Arrays,Hard,1,for(int i=0;i<arr.length;i++) System.out.println(arr[1][i]);,for(int i=0;i<arr.length;i++) System.out.println(arr[i][1]);,False
(Hard) What will this print? int f(int n){ if(n==0) return 0; return n + f(n-1); } System.out.println(f(3));,Methods,Hard,1,6,6,True
(Hard) What is printed? int sumArray(int[] arr){ int sum=0; for(int n:arr) sum+=n; return sum; } System.out.println(sumArray(new int[]{2 4 6}));,Methods,Hard,1,6,12,False

Total Score,'6/20'
Knowledge States:
Methods,0.85
Arrays,0.68
